clip,expected_dur,file_dur,delta,status
p01,21.0,21.0,0.0,OK
p02,50.0,50.0,0.0,OK
p03,13.0,13.0,0.0,OK
p04,58.0,58.0,0.0,OK
p05,61.0,61.0,0.0,OK
p06,39.5,39.5,0.0,OK
p07,75.5,75.5,0.0,OK
p08,79.5,79.5,0.0,OK
p09,33.0,33.0,0.0,OK
p10,63.0,63.0,0.0,OK
p11,33.5,33.5,0.0,OK
p12,38.0,38.0,0.0,OK
p13,61.0,61.0,0.0,OK
p14,32.5,32.5,0.0,OK
p15,66.0,66.0,0.0,OK
p16,39.5,39.5,0.0,OK
p17,31.5,31.5,0.0,OK
p18,32.5,32.5,0.0,OK
p01-p02,71.0,71.0,0.0,OK
q-1-2,10.0,10.0,0.0,OK
q-3,3.0,3.0,0.0,OK
q-4,3.0,3.0,0.0,OK
q-5,4.5,4.5,0.0,OK
q-6,11.0,11.0,0.0,OK
q-7,6.5,6.5,0.0,OK
q-8,5.0,5.0,0.0,OK
q-9,4.5,4.5,0.0,OK
q-10,5.5,5.5,0.0,OK
q-11,6.5,6.5,0.0,OK
q-12,6.0,6.0,0.0,OK
q-13,7.5,7.5,0.0,OK
q-14,6.5,6.5,0.0,OK
q-15,6.0,6.0,0.0,OK
q-16,5.0,5.0,0.0,OK
q-17,6.5,6.5,0.0,OK
q-18,8.0,8.0,0.0,OK
