second,para,question,br,tl
297,0,0,1451,
298,0,0,1451,
299,0,0,1451,
300,0,0,1451,
301,0,0,1451,
302,0,0,1451,
303,0,0,1451,
304,0,0,1451,
305,0,0,1451,
306,0,0,1451,
307,0,0,1451,
308,0,0,1451,
309,0,0,1451,
310,0,0,1451,
311,0,0,1451,
312,0,0,1451,
313,0,0,1451,
314,0,0,1451,
315,0,0,1451,
316,0,0,1451,
317,0,0,1451,
318,0,0,1451,
319,0,0,1451,
320,0,0,1451,
321,0,0,1451,
322,0,0,1451,
323,0,0,1451,
324,0,0,1451,
325,0,0,1451,
326,0,0,1451,
327,0,0,1451,
328,0,0,1451,
329,0,0,1451,
330,0,0,1451,
331,0,0,1451,
332,0,0,1451,
333,0,0,1451,
334,0,0,1451,
335,0,0,1451,
336,0,0,7871,8;9
337,0,0,7871,8;9
338,0,0,7638,8;9
339,0,0,7638,8;9
340,0,0,7698,8;9
341,0,0,7698,8;9
342,0,0,1131,
343,0,0,1131,
344,0,0,1451,
345,0,0,1451,
346,0,0,1451,
347,0,0,1451,
348,0,0,1451,
349,0,0,1451,
350,10,0,1451,10
351,10,0,1451,10
352,10,0,1451,10
353,10,0,1451,10
354,10,0,1451,10
355,10,0,1451,10
356,10,0,1451,10
357,10,0,1451,10
358,10,0,1451,10
359,10,0,1451,10
360,10,0,1451,10
361,10,0,1451,10
362,10,0,1451,10
363,10,0,1451,10
364,10,0,1451,10
365,10,0,1451,10
366,10,0,1451,10
367,10,0,1451,10
368,10,0,1451,10
369,10,0,1451,10
370,10,0,7894,10
371,10,0,7894,10
372,10,0,7875,10
373,10,0,7875,10
374,11,0,1451,11
375,11,0,1451,11
376,11,0,1451,11
377,11,0,1451,11
378,11,0,1451,11
379,11,0,1451,11
380,11,0,1451,11
381,11,0,1451,11
382,11,0,1451,11
383,11,0,1451,11
384,11,0,1451,11
385,11,0,1451,11
386,11,0,1663,11
387,11,0,1663,11
388,11,0,1451,11
389,11,0,1451,11
390,11,0,1451,11
391,11,0,1451,11
392,11,0,1451,11
393,11,0,1451,11
394,11,0,1451,11
395,11,0,1451,11
396,11,0,1451,11
397,11,0,1451,11
398,11,0,1451,11
399,11,0,1451,11
400,11,0,7933,11
401,11,0,7933,11
402,11,0,7910,11
403,11,0,7910,11
404,11,0,7997,11
405,11,0,7997,11
406,12,0,1451,12
407,12,0,1451,12
408,12,0,1451,12
409,12,0,1451,12
410,12,0,1451,12
411,12,0,1451,12
412,12,0,1451,12
413,12,0,1451,12
414,12,0,1451,12
415,12,0,1451,12
416,12,0,1451,12
417,12,0,1451,12
418,12,0,1451,12
419,12,0,1451,12
420,12,0,1451,12
421,12,0,1451,12
422,12,0,1451,12
423,12,0,1451,12
424,12,0,1451,12
425,12,0,1451,12
426,12,0,1451,12
427,12,0,1451,12
428,12,0,1451,12
429,12,0,1451,12
430,12,0,1451,12
431,12,0,1451,12
432,12,0,1451,12
433,12,0,1451,12
434,12,0,1451,12
435,12,0,1451,12
436,12,0,1451,12
437,12,0,1451,12
438,12,0,1451,12
439,12,0,1451,12
440,12,0,1451,12
441,12,0,1451,12
442,12,0,1451,12
443,12,0,1451,12
444,12,0,1451,12
445,12,0,1451,12
446,12,0,1451,12
447,12,0,1451,12
448,12,0,1451,12
449,12,0,1451,12
450,12,0,1451,12
451,12,0,1451,12
452,12,0,1451,12
453,12,0,1451,12
454,12,0,1451,12
455,12,0,1451,12
456,12,0,1451,12
457,12,0,1451,12
458,12,0,1451,12
459,12,0,1451,12
460,12,0,1451,12
461,12,0,1451,12
462,12,0,1451,12
463,12,0,1451,12
464,12,0,1451,12
465,12,0,1451,12
466,12,0,1451,12
467,12,0,1451,12
468,12,0,1451,12
469,12,0,1451,12
470,12,0,1451,12
471,12,0,1451,12
472,12,0,1451,12
473,12,0,1451,12
474,12,0,1451,12
475,12,0,1451,12
476,13,0,1451,13
477,13,0,1451,13
478,13,0,1451,13
479,13,0,1451,13
480,13,0,1451,13
481,13,0,1451,13
482,13,0,1451,13
483,13,0,1451,13
484,13,0,1451,13
485,13,0,1451,13
486,13,0,1451,13
487,13,0,1451,13
488,13,0,1451,13
489,13,0,1451,13
490,13,0,1451,13
491,13,0,1451,13
492,13,0,1451,13
493,13,0,1451,13
494,13,0,1451,13
495,13,0,1451,13
496,13,0,1451,13
497,13,0,1451,13
498,13,0,1451,13
499,13,0,1451,13
500,13,0,1451,13
501,13,0,1451,13
502,13,0,1451,13
503,13,0,1451,13
504,13,0,2581,13
505,13,0,2581,13
506,13,0,1451,13
507,13,0,1451,13
508,13,0,1451,13
509,13,0,1451,13
510,13,0,1451,13
511,13,0,1451,13
512,13,0,1451,13
513,13,0,1451,13
514,13,0,1451,13
515,13,0,1451,13
516,13,0,1451,13
517,13,0,1451,13
518,13,0,1451,13
519,13,0,1451,13
520,13,0,1451,13
521,13,0,1451,13
522,12,0,7822,12;13
523,12,0,7822,12;13
524,12,0,7685,12;13
525,12,0,7685,12;13
526,12,0,7605,12;13
527,12,0,7605,12;13
528,12,0,7627,12;13
529,12,0,7627,12;13
530,12,0,7519,12;13
531,12,0,7519,12;13
532,12,0,7569,12;13
533,12,0,7569,12;13
534,12,0,7604,12;13
535,12,0,7604,12;13
536,12,0,7633,12;13
537,12,0,7633,12;13
538,12,0,7607,12;13
539,12,0,7607,12;13
540,12,0,8030,12;13
541,12,0,8030,12;13
542,12,0,8220,12;13
543,12,0,8220,12;13
544,0,0,1451,
545,0,0,1451,
546,0,0,1533,
547,0,0,1533,
548,0,0,1489,
549,0,0,1489,
550,0,0,1528,
551,0,0,1528,
552,0,0,1492,
553,0,0,1492,
554,0,0,1479,
555,0,0,1479,
556,0,0,1539,
557,0,0,1539,
558,0,0,1783,
559,0,0,1783,
560,0,0,1531,
561,0,0,1531,
562,0,0,1510,
563,0,0,1510,
564,0,0,1486,
565,0,0,1486,
566,0,0,1520,
567,0,0,1520,
568,0,0,1483,
569,0,0,1483,
570,0,0,1534,
571,0,0,1534,
572,0,0,1488,
573,0,0,1488,
574,0,0,1501,
575,0,0,1501,
576,0,0,1481,
577,0,0,1481,
578,0,0,1490,
579,0,0,1490,
580,0,0,1488,
581,0,0,1488,
582,0,0,1518,
583,0,0,1518,
584,0,0,1483,
585,0,0,1483,
586,0,0,1483,
587,0,0,1483,
588,0,0,1491,
589,0,0,1491,
590,0,0,1484,
591,0,0,1484,
592,0,0,1486,
593,0,0,1486,
594,0,0,1508,
595,0,0,1508,
596,0,0,1545,
597,0,0,1545,
598,0,0,1834,
599,0,0,1834,
600,0,0,1451,
601,0,0,1451,
602,0,0,1451,
603,0,0,1451,
604,0,0,2741,
605,0,0,2741,
606,14,0,1451,14
607,14,0,1451,14
608,14,0,1451,14
609,14,0,1451,14
610,14,0,1451,14
611,14,0,1451,14
612,14,0,1451,14
613,14,0,1451,14
614,14,0,1451,14
615,14,0,1451,14
616,14,0,1451,14
617,14,0,1451,14
618,14,0,1451,14
619,14,0,1451,14
620,14,0,1451,14
621,14,0,1451,14
